# Production of Au-196 m1
# E_in [eV]   sigma[barns]
1.000000e+06  0.000000e+00
1.500000e+06  0.000000e+00
2.000000e+06  0.000000e+00
2.500000e+06  0.000000e+00
3.000000e+06  0.000000e+00
3.500000e+06  0.000000e+00
4.000000e+06  0.000000e+00
4.500000e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.250000e+06  0.000000e+00
5.500000e+06  0.000000e+00
5.750000e+06  0.000000e+00
6.000000e+06  0.000000e+00
6.500000e+06  0.000000e+00
7.000000e+06  0.000000e+00
7.500000e+06  0.000000e+00
8.000000e+06  0.000000e+00
8.500000e+06  0.000000e+00
8.500000e+06  3.184515e-04
9.000000e+06  1.899818e-03
9.500000e+06  4.318681e-03
1.000000e+07  8.787083e-03
1.050000e+07  1.600482e-02
1.100000e+07  2.704991e-02
1.150000e+07  4.408190e-02
1.200000e+07  6.758941e-02
1.250000e+07  9.059811e-02
1.300000e+07  1.099249e-01
1.350000e+07  1.303071e-01
1.400000e+07  1.437039e-01
1.450000e+07  1.391483e-01
1.500000e+07  1.196590e-01
1.550000e+07  8.929728e-02
1.600000e+07  6.125571e-02
1.650000e+07  4.147528e-02
1.700000e+07  2.879716e-02
1.750000e+07  2.069648e-02
1.800000e+07  1.544111e-02
1.850000e+07  1.205041e-02
1.900000e+07  9.591775e-03
1.950000e+07  7.861783e-03
2.000000e+07  6.562316e-03
2.100000e+07  4.724599e-03
2.200000e+07  3.596256e-03
2.300000e+07  2.869482e-03
2.400000e+07  2.377703e-03
2.500000e+07  2.039136e-03
2.600000e+07  1.794688e-03
2.700000e+07  1.575156e-03
2.800000e+07  1.401084e-03
2.900000e+07  1.251339e-03
3.000000e+07  1.113360e-03
3.200000e+07  8.871388e-04
3.400000e+07  7.099153e-04
3.600000e+07  5.800689e-04
3.800000e+07  4.888248e-04
4.000000e+07  4.166812e-04
4.200000e+07  3.577977e-04
4.400000e+07  3.115428e-04
4.600000e+07  2.774960e-04
4.800000e+07  2.442671e-04
5.000000e+07  2.199354e-04
5.200000e+07  2.017463e-04
5.400000e+07  1.826615e-04
5.600000e+07  1.669810e-04
5.800000e+07  1.552244e-04
6.000000e+07  1.411217e-04
6.200000e+07  1.322208e-04
6.400000e+07  1.240598e-04
6.600000e+07  1.164598e-04
6.800000e+07  1.065765e-04
7.000000e+07  9.952274e-05
7.200000e+07  9.287796e-05
7.400000e+07  8.893999e-05
7.600000e+07  8.339058e-05
7.800000e+07  7.830368e-05
8.000000e+07  7.344041e-05
8.500000e+07  6.223272e-05
9.000000e+07  5.565047e-05
9.500000e+07  4.639859e-05
1.000000e+08  4.081947e-05
1.100000e+08  3.133033e-05
1.200000e+08  2.342523e-05
1.300000e+08  1.794606e-05
1.400000e+08  1.457782e-05
1.500000e+08  1.146095e-05
1.600000e+08  9.100668e-06
1.700000e+08  7.089245e-06
1.800000e+08  5.603450e-06
1.900000e+08  4.406358e-06
2.000000e+08  3.925405e-06
