# g + 197Au: Production of 196Au - Total
# Q-value    =-8.07237E+00 mass= 195.966569
# E-threshold= 8.07237E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 6.41196E+01
 1.00000E+01 1.13189E+02
 1.10000E+01 1.92849E+02
 1.20000E+01 3.23196E+02
 1.30000E+01 4.76371E+02
 1.40000E+01 5.20097E+02
 1.50000E+01 4.06334E+02
 1.60000E+01 1.89431E+02
 1.70000E+01 7.93961E+01
 1.80000E+01 3.67756E+01
 1.90000E+01 1.94583E+01
 2.00000E+01 1.16278E+01
 2.20000E+01 5.36545E+00
 2.40000E+01 3.23719E+00
 2.60000E+01 2.24523E+00
 2.80000E+01 1.69168E+00
 3.00000E+01 1.33423E+00
 3.50000E+01 8.38021E-01
 4.00000E+01 6.03296E-01
 4.50000E+01 4.65463E-01
 5.00000E+01 3.75867E-01
 5.50000E+01 3.12085E-01
 6.00000E+01 2.62752E-01
 6.50000E+01 2.24434E-01
 7.00000E+01 1.94545E-01
 7.50000E+01 1.70077E-01
 8.00000E+01 1.50575E-01
 9.00000E+01 1.20333E-01
 1.00000E+02 9.68944E-02
 1.10000E+02 7.87928E-02
 1.20000E+02 6.46762E-02
 1.30000E+02 5.40499E-02
 1.40000E+02 4.57696E-02
 1.50000E+02 3.82641E-02
 1.60000E+02 3.23244E-02
 1.80000E+02 2.37099E-02
 2.00000E+02 1.79893E-02
