#rp088225.tot         Number of runs:      4
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 4.69451E+01 1.33763E+01 8.05139E+01
 8.00000E+00 7.48314E+01 1.62191E+01 1.33444E+02
 9.00000E+00 1.28487E+02 1.28193E+01 2.44155E+02
 1.00000E+01 2.37750E+02 0.00000E+00 4.75500E+02
 1.10000E+01 4.48952E+02 0.00000E+00 8.97904E+02
 1.20000E+01 6.39228E+02 0.00000E+00 1.27846E+03
 1.30000E+01 4.29642E+02 0.00000E+00 8.59284E+02
 1.40000E+01 2.10666E+02 0.00000E+00 4.21332E+02
 1.50000E+01 9.67170E+01 0.00000E+00 1.93434E+02
 1.60000E+01 4.39761E+01 5.27416E-01 8.74248E+01
 1.70000E+01 2.03969E+01 5.65316E+00 3.51406E+01
 1.80000E+01 1.11617E+01 4.98987E+00 1.73335E+01
 1.90000E+01 7.11818E+00 3.75649E+00 1.04799E+01
 2.00000E+01 4.96853E+00 2.88688E+00 7.05019E+00
 2.20000E+01 2.78278E+00 1.85023E+00 3.71533E+00
 2.40000E+01 1.78541E+00 1.28495E+00 2.28587E+00
 2.60000E+01 1.25045E+00 9.24312E-01 1.57659E+00
 2.80000E+01 9.28745E-01 6.85172E-01 1.17232E+00
 3.00000E+01 7.33639E-01 5.47824E-01 9.19454E-01
 3.50000E+01 4.86323E-01 3.63148E-01 6.09498E-01
 4.00000E+01 3.64530E-01 2.72202E-01 4.56857E-01
 4.50000E+01 2.82335E-01 2.10826E-01 3.53844E-01
 5.00000E+01 2.21522E-01 1.65415E-01 2.77629E-01
 5.50000E+01 1.96674E-01 1.46861E-01 2.46488E-01
 6.00000E+01 1.58686E-01 1.18495E-01 1.98878E-01
 6.50000E+01 1.47882E-01 1.10427E-01 1.85337E-01
 7.00000E+01 1.22599E-01 9.15470E-02 1.53650E-01
 7.50000E+01 1.15599E-01 8.63206E-02 1.44878E-01
 8.00000E+01 9.75131E-02 7.28151E-02 1.22211E-01
 9.00000E+01 7.82323E-02 5.84177E-02 9.80468E-02
 1.00000E+02 6.26714E-02 4.67981E-02 7.85447E-02
 1.10000E+02 5.10114E-02 3.80913E-02 6.39315E-02
 1.20000E+02 4.18961E-02 3.12847E-02 5.25075E-02
 1.30000E+02 3.48982E-02 2.60592E-02 4.37371E-02
 1.40000E+02 2.95844E-02 2.20913E-02 3.70775E-02
 1.50000E+02 2.45919E-02 1.83633E-02 3.08206E-02
 1.60000E+02 2.07271E-02 1.54774E-02 2.59768E-02
 1.80000E+02 1.52463E-02 1.13847E-02 1.91078E-02
 2.00000E+02 1.17154E-02 8.74814E-03 1.46826E-02
