#rp079196.L00         Number of runs:     20
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 2.50000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 6.11715E+01 5.88972E+01 6.34458E+01
 1.00000E+01 1.06350E+02 1.04247E+02 1.08454E+02
 1.10000E+01 1.85799E+02 1.82791E+02 1.88807E+02
 1.20000E+01 3.07535E+02 3.01748E+02 3.13323E+02
 1.25000E+01 3.68611E+02 3.60940E+02 3.76282E+02
 1.30000E+01 4.10892E+02 4.01603E+02 4.20180E+02
 1.35000E+01 4.21117E+02 4.11108E+02 4.31125E+02
 1.40000E+01 4.00841E+02 3.91092E+02 4.10590E+02
 1.45000E+01 3.62010E+02 3.53193E+02 3.70828E+02
 1.50000E+01 3.04592E+02 2.97943E+02 3.11241E+02
 1.55000E+01 2.09417E+02 2.00793E+02 2.18041E+02
 1.60000E+01 1.31672E+02 1.21617E+02 1.41727E+02
 1.65000E+01 8.13732E+01 7.28634E+01 8.98831E+01
 1.70000E+01 5.06684E+01 4.43308E+01 5.70061E+01
 1.75000E+01 3.25753E+01 2.79137E+01 3.72370E+01
 1.80000E+01 2.20300E+01 1.84129E+01 2.56471E+01
 1.90000E+01 1.17408E+01 9.41684E+00 1.40648E+01
 2.00000E+01 7.31828E+00 5.79999E+00 8.83657E+00
 2.20000E+01 3.69113E+00 2.98228E+00 4.39999E+00
 2.40000E+01 2.26795E+00 1.85913E+00 2.67677E+00
 2.60000E+01 1.55933E+00 1.28337E+00 1.83530E+00
 2.80000E+01 1.13350E+00 9.32355E-01 1.33464E+00
 3.00000E+01 8.55469E-01 7.01068E-01 1.00987E+00
 3.50000E+01 3.85614E-01 3.16015E-01 4.55212E-01
 4.00000E+01 1.98798E-01 1.62917E-01 2.34678E-01
 4.50000E+01 1.17979E-01 9.66852E-02 1.39273E-01
 5.00000E+01 8.10843E-02 6.64496E-02 9.57190E-02
 5.50000E+01 6.38229E-02 5.23037E-02 7.53422E-02
 6.00000E+01 5.32034E-02 4.36008E-02 6.28059E-02
 6.50000E+01 4.63629E-02 3.79949E-02 5.47308E-02
 7.00000E+01 4.13670E-02 3.39008E-02 4.88332E-02
 7.50000E+01 3.73580E-02 3.06154E-02 4.41007E-02
 8.00000E+01 3.34516E-02 2.74140E-02 3.94892E-02
 9.00000E+01 2.73497E-02 2.24134E-02 3.22860E-02
 1.00000E+02 2.26723E-02 1.85803E-02 2.67644E-02
 1.10000E+02 1.92770E-02 1.57978E-02 2.27563E-02
 1.20000E+02 1.53391E-02 1.25706E-02 1.81076E-02
 1.30000E+02 1.36103E-02 1.11538E-02 1.60668E-02
 1.40000E+02 1.09373E-02 8.96328E-03 1.29114E-02
 1.50000E+02 9.90160E-03 8.11449E-03 1.16887E-02
 1.60000E+02 9.98557E-03 8.18330E-03 1.17878E-02
 1.80000E+02 6.68317E-03 5.47694E-03 7.88940E-03
 2.00000E+02 5.14057E-03 4.21276E-03 6.06838E-03
