#rp079196.tot         Number of runs:     20
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 2.50000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 6.29968E+01 6.05770E+01 6.54166E+01
 1.00000E+01 1.17967E+02 1.15240E+02 1.20694E+02
 1.10000E+01 2.16976E+02 2.13914E+02 2.20038E+02
 1.20000E+01 3.71099E+02 3.68184E+02 3.74015E+02
 1.25000E+01 4.50508E+02 4.48051E+02 4.52964E+02
 1.30000E+01 5.08319E+02 5.06431E+02 5.10207E+02
 1.35000E+01 5.27125E+02 5.25761E+02 5.28489E+02
 1.40000E+01 5.07173E+02 5.06254E+02 5.08093E+02
 1.45000E+01 4.62479E+02 4.61903E+02 4.63056E+02
 1.50000E+01 3.95559E+02 3.91636E+02 3.99482E+02
 1.55000E+01 2.83239E+02 2.70231E+02 2.96246E+02
 1.60000E+01 1.86722E+02 1.70888E+02 2.02557E+02
 1.65000E+01 1.21063E+02 1.07622E+02 1.34504E+02
 1.70000E+01 7.88524E+01 6.92788E+01 8.84259E+01
 1.75000E+01 5.26417E+01 4.60685E+01 5.92149E+01
 1.80000E+01 3.67393E+01 3.18671E+01 4.16115E+01
 1.90000E+01 2.06570E+01 1.74977E+01 2.38162E+01
 2.00000E+01 1.35344E+01 1.13517E+01 1.57170E+01
 2.20000E+01 7.61254E+00 6.43626E+00 8.78883E+00
 2.40000E+01 5.19481E+00 4.42587E+00 5.96375E+00
 2.60000E+01 3.90110E+00 3.33604E+00 4.46617E+00
 2.80000E+01 3.07513E+00 2.63564E+00 3.51461E+00
 3.00000E+01 2.49975E+00 2.14457E+00 2.85494E+00
 3.50000E+01 1.28200E+00 1.09985E+00 1.46416E+00
 4.00000E+01 7.29322E-01 6.25695E-01 8.32948E-01
 4.50000E+01 4.61463E-01 3.95895E-01 5.27030E-01
 5.00000E+01 3.26490E-01 2.80101E-01 3.72880E-01
 5.50000E+01 2.52694E-01 2.16789E-01 2.88598E-01
 6.00000E+01 2.05171E-01 1.76019E-01 2.34323E-01
 6.50000E+01 1.73959E-01 1.49242E-01 1.98676E-01
 7.00000E+01 1.51155E-01 1.29678E-01 1.72632E-01
 7.50000E+01 1.33198E-01 1.14272E-01 1.52124E-01
 8.00000E+01 1.18255E-01 1.01453E-01 1.35058E-01
 9.00000E+01 9.48361E-02 8.13612E-02 1.08311E-01
 1.00000E+02 7.75642E-02 6.65434E-02 8.85851E-02
 1.10000E+02 6.36693E-02 5.46228E-02 7.27158E-02
 1.20000E+02 5.28225E-02 4.53172E-02 6.03279E-02
 1.30000E+02 4.27899E-02 3.67101E-02 4.88698E-02
 1.40000E+02 3.67345E-02 3.15150E-02 4.19539E-02
 1.50000E+02 2.89176E-02 2.48088E-02 3.30264E-02
 1.60000E+02 2.48302E-02 2.13022E-02 2.83582E-02
 1.80000E+02 1.81198E-02 1.55452E-02 2.06944E-02
 2.00000E+02 1.25804E-02 1.07929E-02 1.43679E-02
