#rp079196.L03         Number of runs:     20
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 2.50000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 1.82529E+00 9.25422E-01 2.72516E+00
 1.00000E+01 1.16160E+01 1.01487E+01 1.30832E+01
 1.10000E+01 3.11708E+01 2.72237E+01 3.51179E+01
 1.20000E+01 6.35324E+01 5.61553E+01 7.09095E+01
 1.25000E+01 8.18377E+01 7.25996E+01 9.10759E+01
 1.30000E+01 9.73295E+01 8.66940E+01 1.07965E+02
 1.35000E+01 1.05869E+02 9.47495E+01 1.16989E+02
 1.40000E+01 1.06148E+02 9.55217E+01 1.16774E+02
 1.45000E+01 1.00256E+02 9.07905E+01 1.09721E+02
 1.50000E+01 9.07281E+01 8.23477E+01 9.91084E+01
 1.55000E+01 7.35638E+01 6.54788E+01 8.16487E+01
 1.60000E+01 5.47809E+01 4.70843E+01 6.24775E+01
 1.65000E+01 3.94092E+01 3.32034E+01 4.56150E+01
 1.70000E+01 2.78984E+01 2.37124E+01 3.20844E+01
 1.75000E+01 1.97793E+01 1.71923E+01 2.23663E+01
 1.80000E+01 1.44272E+01 1.27335E+01 1.61210E+01
 1.90000E+01 8.64717E+00 7.60494E+00 9.68941E+00
 2.00000E+01 5.96612E+00 5.16724E+00 6.76500E+00
 2.20000E+01 3.69991E+00 3.16360E+00 4.23622E+00
 2.40000E+01 2.72370E+00 2.32701E+00 3.12039E+00
 2.60000E+01 2.14237E+00 1.83768E+00 2.44705E+00
 2.80000E+01 1.74394E+00 1.50277E+00 1.98510E+00
 3.00000E+01 1.44844E+00 1.25212E+00 1.64476E+00
 3.50000E+01 7.65542E-01 6.61783E-01 8.69300E-01
 4.00000E+01 4.34969E-01 3.76015E-01 4.93923E-01
 4.50000E+01 2.69782E-01 2.33217E-01 3.06348E-01
 5.00000E+01 1.85790E-01 1.60608E-01 2.10971E-01
 5.50000E+01 1.41132E-01 1.22004E-01 1.60261E-01
 6.00000E+01 1.14086E-01 9.86233E-02 1.29549E-01
 6.50000E+01 9.65201E-02 8.34382E-02 1.09602E-01
 7.00000E+01 8.30180E-02 7.17660E-02 9.42699E-02
 7.50000E+01 7.20226E-02 6.22609E-02 8.17842E-02
 8.00000E+01 6.34212E-02 5.48253E-02 7.20170E-02
 9.00000E+01 4.95390E-02 4.28247E-02 5.62533E-02
 1.00000E+02 3.94821E-02 3.41309E-02 4.48334E-02
 1.10000E+02 3.09747E-02 2.67766E-02 3.51729E-02
 1.20000E+02 2.58054E-02 2.23079E-02 2.93030E-02
 1.30000E+02 1.99695E-02 1.72629E-02 2.26761E-02
 1.40000E+02 1.76779E-02 1.52819E-02 2.00739E-02
 1.50000E+02 1.33506E-02 1.15411E-02 1.51601E-02
 1.60000E+02 1.17386E-02 1.01476E-02 1.33296E-02
 1.80000E+02 8.79178E-03 7.60018E-03 9.98338E-03
 2.00000E+02 5.74314E-03 4.96474E-03 6.52154E-03
